row_id,imdb_review_id,review_title,review_text,review_date,review_date_raw,movie_review_score,helpful_up,helpful_down,helpful_net,username,spoiler_collapsed_in_source_file,review_text_available,review_word_count,permalink
1,rw1159999,"Hard to digest, but great.","Tough. Once again Lars von Trier tortures the audience (as he did previously on Dancer in the Dark) by upraising the darkest side of the human being. From the beginning you know that things can only get worse, but I doubt that one can figure out neither what's to come nor the powerful conclusion. Nicole Kidman's interpretation is perfect - intense, poignant, passionate, you name it. She is fantastic and so is the small cast locked inside Dogville's scenario (a wonderful creation - I wonder how something so simple can bring such a strong effect). Again, the entire cast is fantastic and for that goes an extra credit for Lars von Trier. His capability of pushing actors to the limit and extracting painful emotions from them creates a heavy atmosphere, full of tension and, at the same time, so familiar. It is not that Dogville represents the essence of our communities, but it exposes some aspects of our lives that we prefer to hide under the carpet.",2005-08-28,"Aug 28, 2005",9,162,33,129,ffc_home,False,True,167,https://www.imdb.com/title/tt0276919/review/rw1159999/?ref_=tturv_perm_1
2,rw2166534,Are you shivering after seeing Dogville? I am.,"This is probably the most shocking movie experience I've ever had, not only because of the emotional impact, but because this is truly a moral-horror movie that slapped me in the face. The film is probably one of the best moral tales ever told, in which Nicole Kidman and all the supporting cast shined. Why did the makers try to make it look incomplete? Why haven't they used more sophisticated production set rather than some made-believe structures directly exposing the film studio's interior environment to you? I didn't get it at first, thinking this might just be another pretending piece of crap that tried to be ""artistic"". However as the story proceeded, the whole thing started to make senses. Featuring some of the best character study I've ever seen, the story involved you into the adventure of Grace, the main protagonist who's supposed to be despised by us logically and naturally. Then, the audiences were forced into a game that the filmmakers keep you guessing what would happen the next, until the very end. The ending, in my opinion, is the most shocking and frightening ending ever seen in a film. Dogville is by no means marketed as a horror movie, but if one believes himself/herself to have the moral high ground, he or she should stand the test the movie has given us. For me, I chose to live with all the miseries happened to Grace and play along just like every other character in the story, ""sh!t happens"" as they say. This, has not only put me in shame but also freaked me out at the end. Considering the potential spoilers I would caused, I'd suggest you go see it for yourself. With superb acting, very well plotted story and a shocking message for senseless societies, Dogville is easily a masterpiece.",2009-11-30,"Nov 30, 2009",9,118,31,87,honorhorror,False,True,303,https://www.imdb.com/title/tt0276919/review/rw2166534/?ref_=tturv_perm_2
6,rw0792832,Incredible!!!,"When I started the movie and realized that it isn't really a movie, that it is more like a play and that there is really a lack of props and scenery I thought to myself, My God, what the heck did I buy???? I'm a huge fan of Nicole Kidman and she is the reason I bought it in the first place. The movie (or play), whatever u might wanna call it, drew me in and I couldn't stop watching. The end is so powerful, I was speechless. That's one of the best movies I have seen in a long, long, long, long time. I don't agree with the Anti-American comments I read here in some of the comments. Human emotions are all the same all over the world and this movie could have played in any country. Anyway, go watch this movie it's soooo worth it.",2004-09-03,"Sep 3, 2004",10,241,66,175,so4,False,True,147,https://www.imdb.com/title/tt0276919/review/rw0792832/?ref_=tturv_perm_6
9,rw7513237,A Brilliant Movie Setting Concept with Skillfull Lead Actress,"Dogville maybe the only one movie using unique setting and cinematography concept. With no walls, no boundary, the viewers could see so many social environment at one time, provoking every wild perspective. Some scenes taken with presice set piece of camera works. Because in this kind of cinematography concept, camera positioning is a key, but it successfully made it. The lead actress is really flawless. Potraiting cold, calm, and mysterious character. The acting is really charming. Provoking human emotion such as sadness, lovable, lust, toughess, and anger. She has very broad skill of characterization of many human emotion. Overall, Dogville is a unique and well-made movie with flawless performance of it's lead actress.",2021-11-05,"Nov 5, 2021",8,8,0,8,the-fearless-america,False,True,113,https://www.imdb.com/title/tt0276919/review/rw7513237/?ref_=tturv_perm_9
11,rw0792692,You'll Either Love It or Hate It,"The story of what happens when Nichole Kidman arrives in Dogville is either going to thrill you or strike you as one of the worst films of all time. There is no set to speak of, only lines on the ground so the film comes off as nothing more than a filmed stage play. And while John Hurt's narration adds a dimension of literary quality to the proceedings, proving this is probably a better movie to listen to then watch. The performances are uniformly excellent across the board and those wishing to see great acting should see this... ...but the movie goes on way too long and ends up being one of the most bleak films in recent memory. I'm not sure what the point of it all is and any ideas I did have got lost with the three hour running time. As I said you'll either love it or hate it - Me I'm in the five percent of people who'll be on the fence. 6 out of 10.",2004-03-19,"Mar 19, 2004",6,25,9,16,dbborroughs,False,True,171,https://www.imdb.com/title/tt0276919/review/rw0792692/?ref_=tturv_perm_11
12,rw6798562,"If you take everything away, what do you have?","Here Trier rely only on the story and the actors. Everything else is bared down to its minimum. Which fits perfectly, since he tries to show the naked truth of what people are. Now, it is a bit extreme. And I hope the film isn't saying this always is the truth. But to deny that people can be like this, completely selfish and purely hypocritical. Then you're one of those going trough life with your eyes firmly shut. Especially if you think that you yourself, never could be like this. Movies like this are some of the absolute best. It's not a movie aimed to entertain. It's art, trying to tell a deep truth of the human psyche and nature. Although, these attempts can be pretentious, boring and pointless. Because we watch movies to be entertained. Yet, when it works, it works. And I'm glad movies like these are made. And Nicole Kidman is excellent.",2021-04-10,"Apr 10, 2021",10,6,1,5,SimonD1900,False,True,155,https://www.imdb.com/title/tt0276919/review/rw6798562/?ref_=tturv_perm_12
13,rw4701199,Just like reading a good book,"A few thoughts: 1) I had a strange, good feeling watching Dogville: it's really like reading a book. Not cinema, not theatre: a book. It's the first time that happened to me. Infact, I was quite surprised afterwards in discovering that it's not based on a book. 2) Dogville is too long, but I enjoyed almost every minute of it. Lots of scenes are not strictly necessary, but they serve well the story arc and carefully lead the audience through the changing situation. Also, many dialogues about the moral aspects of the plot (which lenghten the movie) are absolutely essential. 3) I hate theatre. So, the choice of theatrical scenography and structure could have ruined it all for me. Instead, after 20 minutes I was good with that, because Von Trier does an outstanding job in making you feel involved, just like it happens with a regular movie. A great part of this involvement comes from a fantastic camera work: lots of times you will notice how perfect and how cinematographic the shots are. You could really imagine what the scenography is missing. This helps the feeling I wrote about, that it's like reading a book. 4) I don't know exactly why he chose this kind of scenography, but personally I think it allows the viewer to distance a little bit from the story; so, you know you are watching some kind of allegory, a not-so-real story in which the philosophical themes are much more important than the actual events. In this way, you're able to enjoy many over-the-top dialogues and moments. 5) The moral subtext is fantastic. Human beings, misery, evil, mercy, holiness. Dog, dogs, Dogville. The ending could have gone in many different directions, I don't mind, the good thing is giving a story such depth and tackling human behaviour. 6) Also about the ending, it's the only moment in which I would have preferred an approach a bit more cinematographic. The movie remains consistent and it doesn't suddenly change the way it's shot, but maybe it's a moment (plot-wise) that could have been a bit more dramatic. Could have. I understand that Von Trier chose to keep a low profile, so that the whole weight of the act bears on the words spoken inside the car. 7) Overall, Dogville is a very good, enjoyable piece of deeply thought cinema, where artistic license has a reason. Not an artsy movie just for the sake of being artsy. PS: I'd like to add, I don't understand why it was met with such mixed reactions. Critics usually rave about super-artsy things, often when such things are pretentious boring garbage (""The killing of a sacred deer""), so I don't get why Dogville received a different treatment, when it's obviously much more than that.",2019-03-05,"Mar 5, 2019",7,13,4,9,mgd_m,False,True,462,https://www.imdb.com/title/tt0276919/review/rw4701199/?ref_=tturv_perm_13
14,rw4085358,"Horrible, pointless, poorly conceived, gimmicky...","First off, let me say that the gimmick of having no set does NOT work. It is a major distraction for the audience. Some have suggested not having the setting somehow forces you to pay attention more to the characters. That is totally incorrect. Your eye and attention is naturally drawn to what you know should be there, but is not. It is only when you have a set that actually fits the story that it essentially becomes invisible to the mind, and your attention is fully on the characters. This is simply a gimmick. It in no way is intrinsic to the story, nor does it advance it in any manner. It is as if the creators wanted to scream as loud as possible, ""This is an artsy film!"" Yeah, I heard you, but it still sucks. Next, to the story. The underlying theme appears to be that people in the depression who were poor and struggling to get by were horrible, mean and untrustworthy, and all men are closet rapists, and all women are closet rape-accomplices. In fact, none of this is true. On the contrary, the poorest people are often the ones who help one another the most, because the notion ""there but for the grace of God"" is most true for them. I frankly do not believe a town like that portrayed in this movie ever existed. I do not for a second believe poverty leads to this level of inhumanity but, on the contrary, poor people generally display the highest levels of humanity, and it is the wealthy who are more likely to stray from humanistic behavior. I believe the characters are unrealistic, 2 dimensional and contrived. Ultimately, the movie gets by with big name actors, a lame set gimmick and shock value from contrived and unrealistic characters and behaviors. It evades the critical derision it deserves by hiding behind the label of an ""art"" film, so if you don't like it, you are too dumb to get it. I think I recall a story about that very phenomenon and, spoiler alert, in that story it turned out the Emperor had no clothes.",2018-03-09,"Mar 9, 2018",2,22,16,6,KenToo,False,True,358,https://www.imdb.com/title/tt0276919/review/rw4085358/?ref_=tturv_perm_14
17,rw4774566,Homo hominis lupus,"I am no great fan of Lars von Trier's work but I like Melancholia and Dogville a lot. Dogville is a hard and deep look on human society and human behaviour, on moral and ethics. Like the book Blindness by José Saramago, and the movie based on that book, it is not an easy watch, but a close, intense and realistic look on the shadow side of mankind. On top, the method of stage acting like in a theatre adds some sense of advantgarde and extravaganza to Dogville, and makes this movie, with the theme, an exceptional piece of art.",2019-04-11,"Apr 11, 2019",8,16,5,11,Tweetienator,False,True,100,https://www.imdb.com/title/tt0276919/review/rw4774566/?ref_=tturv_perm_17
19,rw8253405,a brilliant lesson in human behavior,"Just awesome! First, the quasi-theatrical film adaptation with only one stage set... one is amazed at how well this works. In my opinion it is even more effective this way than with a conventional film adaptation. The story itself is a brilliant lesson in human behavior.",2022-06-19,"Jun 19, 2022",9,8,1,7,ingobert,False,True,46,https://www.imdb.com/title/tt0276919/review/rw8253405/?ref_=tturv_perm_19
