row_id,imdb_review_id,review_title,review_text,review_date,review_date_raw,movie_review_score,helpful_up,helpful_down,helpful_net,username,spoiler_collapsed_in_source_file,review_text_available,review_word_count,permalink
1,rw0875509,Elf Will Be A New Christmas Classic!,"After seeing ""Elf"" last night (special preview screening) I am happy to say that I, as well as my children left the theater feeling full of Christmas cheer. I do believe that this movie will become a Christmas classic. I can see this movie being viewed by millions each year on TV just like ""A Christmas Story"", and ""It's a Wonderful Life"". Was the movie perfect? No. Will it win an Oscar? Of course not. Did it make me laugh, and feel good while looking forward to another Christmas this year. Without a doubt. 7 out of 10 Stars.",2003-10-31,"Oct 31, 2003",7.0,63,10,53,korch-3,False,True,99,https://www.imdb.com/title/tt0319343/review/rw0875509/?ref_=tturv_perm_1
2,rw2361628,"Sweet and charming, salvaged by the cast","Elf isn't a perfect Christmas movie, but it was sweet and charming with a great cast. The script can be a little too fluffy and unfocused sometimes though, while the pace occasionally lags and some jokes such as Buddy eating the sweets felt forced. However, it does look terrific, with the locations striking and the cinematography very nice. The soundtrack is a nice addition too, it made me nostalgic and all the more ready for Christmas. The story while simple and a tad predictable is at least original and well-meaning, while the direction is credible. The cast is what gives Elf its staying power and charm. Although I am not a fan of Will Ferrell, I think he really shone here as Buddy, while Zooey Deschannel is beautiful and a huge part of the film's charm, James Caan is a suitably gruff father-like figure and Bob Newhart is wonderful. All in all, it is a sweet film if you forgive the slightly cliché ending, by all means not for all but the cast do save the day. 7/10 Bethany Cox",2010-12-31,"Dec 31, 2010",7.0,35,8,27,TheLittleSongbird,False,True,183,https://www.imdb.com/title/tt0319343/review/rw2361628/?ref_=tturv_perm_2
3,rw1785330,A star is born in this laugh-out-loud holiday comedy...,"Charming Christmas confection--about a boy raised by elves in the North Pole who grows up and journeys to N.Y.C. in search of his biological father--puts a clever spin on even the most familiar gags, successfully walking a fine line between absurdist comedy and holiday schmaltz. Will Ferrell looks like a string-bean in yellow tights and, with his mass of curly hair peeking out from underneath his elf's hat, he could easily be used as a walking punchline. Fortunately, director Jon Favreau's handling of ""Elf"" is incredibly nimble, treating Ferrell and his naive character Buddy with the utmost respect; you can laugh at all the silly pranks without ever feeling guilty. Favreau's work is smooth, and he's assembled an incredible supporting cast of character actors to back his star, though some may find the climactic moments (involving Edward Asner as Santa Claus) a bit too literal--and the movie is certainly funnier before we get to this point. Still, the special effects are kept to a minimum in order to let the people shine...and that's not only refreshing, it's heart-warming. *** from ****",2007-12-23,"Dec 23, 2007",7.0,47,15,32,moonspinner55,False,True,187,https://www.imdb.com/title/tt0319343/review/rw1785330/?ref_=tturv_perm_3
4,rw0875572,"A really nice, funny movie for Christmas despite a little bit of the inevitable smaltz","Accidentally finding his way into Santa's bad once Christmas Eve, little baby orphan Buddy ends up in the north pole, where he is raised by the elves as one of their own. As he gets ever bigger and less and less suited to the elf lifestyle he is told about his real father and decides to go to New York to find him. However Buddy's natural smile and elfish enthusiasm doesn't really fit in with New York, not to mention a father who rejects him. When I first saw the trailer for this film I laughed slightly but I also thought that it could easily be just awful. Despite this fear I decided to go and see it on the basis of seeing Ferrell in the Reloaded MTV spoof on the DVD and being very funny. I was glad that I did as the film was refreshingly funny very enjoyable despite the weaknesses inherent in a seasonable film of this nature. The jokes are a mix of adult and children - but not separately, the humour is of a nature families can all enjoy rather than being of a `one for me and one for the kids' type. The film does get a little sweet towards the end, but it manages to avoid this usual trap for the majority of the film and can't be expected to not be all Christmas cheer at some point! The fish out of water stuff is pretty funny and Farrell makes his character funny without being annoying to the audience (as he feared he might be from the trailer). Caan is good but has to work with the `scrooge' character of the film and thus gets fewer laughs. The support cast is good with fun turns from Newhart, Asner and Steenburger. It does get a little sickly sweet towards the end and the fish out of water jokes do wear a little thin towards the end but mostly it is very funny and refreshingly fun to watch. The film is made better by a performance from Farrell that is perfectly pitched without being annoying and full of spark and wit.",2003-11-16,"Nov 16, 2003",,84,29,55,bob the moo,False,True,355,https://www.imdb.com/title/tt0319343/review/rw0875572/?ref_=tturv_perm_4
5,rw0875675,This will play on television every year for the rest of our lives,"This is a good natured holiday comedy that definitely is in the same realm as ""The Santa Clause"" and (Dare I say?) ""Miracle on 34th Street"". Story is about a human that has been raised by Santa's elves at the North Pole and as he gets older he figures out that he's very different from the other elves. Years earlier Santa (Ed Asner) was delivering at an orphanage and a human baby accidentally crawled into his sack and was taken back to the North Pole where he was raised by Papa Elf (Bob Newhart). He is called Buddy (Will Ferrell) and he grows to six foot three and one day he is told the truth about his situation and told by Santa who his real father is. Buddy travels to New York City to meet his father and he heads to the Empire State Building where he works. He finds his father Walter (James Caan) who runs a publishing business and works all the time much to the chagrin of his family. Walter is unable to get away from Buddy and after a blood test proves he is his son he takes him home with him to stay with his family. He meets Walter's wife Emily (Mary Steenburgen) and their son and Walter thinks Buddy is just someone reverting to his childhood after a shock. Buddy starts to work in a department store and he meets a woman named Jovie (Zooey Deschanel) and is smitten by her. Buddy tries to fit in with the others but finds it difficult although he becomes friends with Walter's son and starts dating Jovie. This film is directed by Jon Favreau who has made his mark as a director of low budget films like ""Made"" and also as a character actor but this is his first effort at directing a mainstream Hollywood movie. He does a commendable job and as I watched this film I kept having the feeling that he purposely made the most commercial film that he could. Favreau as an actor has mostly appeared in small roles. As a director his small films are lucky to play at art house theaters and I seriously doubt he's getting rich hosting ""Dinner For 5"" on the Independent Film Channel. It looks as though he wanted to make a crowd pleasing film that will ultimately be playing on some cable channel for the rest of our lives. I'm not knocking this decision at all, it's a smart move and he's become a major Hollywood player with the success of this film. Even the script was carefully written to insure that WHEN this plays on television there will be nothing to edit out. The closest thing to a bad word is uttered by Caan when he says ""Hell"" once towards the end of the film. This is a fun film that does have undeniable charm and its heart is definitely in the right place. It's sentimental and corny but thats part of the appeal. The script doesn't try to hard and the energy and flow of the film keeps at a constant pace, it doesn't try to go over the top which is refreshing. Ferrell is a natural performer and his dopey wide eyed expressions never grow old. This film must be doing something right because tough guy James Caan is believable as a caring husband and father. Very old fashioned story that never raises itself above lightweight status is nonetheless funny and charming. Like I said earlier, this film will be playing on television every year for the rest of our lives!",2003-12-22,"Dec 22, 2003",6.0,95,54,41,rosscinema,False,True,598,https://www.imdb.com/title/tt0319343/review/rw0875675/?ref_=tturv_perm_5
6,rw9487971,Finally watched Elf...,"After 20 years of thinking it would probably be a silly waste of time and listening to the naysayers (like my husband) that it was stupid. So, if you are like me and haven't watched this, then put on your childlike wonder, forget that you are a grown-up and enjoy this very enjoyable and funny movie. Chill out and laugh out loud. Bob Newhart is hilarious as papa Elf and Ed Asner plays a marvelous Santa. Now I understand why Zooey Deschanel now has black hair, because in this movie she has blond hair and it does not suit her well. Give this movie a chance, don't wait 20 years to watch it like I did!",2023-12-11,"Dec 11, 2023",10.0,38,6,32,RuthMariaK,False,True,117,https://www.imdb.com/title/tt0319343/review/rw9487971/?ref_=tturv_perm_6
7,rw9500358,A Must Watch During the Christmas Season,"Elf is a fun Christmas film that has a guy living as an elf then going to the ordinary human society. I feel like that led to good humor throughout and I find kinda interesting. For me, it's within my top 5 Christmas movies. I feel like Will Ferrell did a good job as Buddy. He really nailed the hyper personality. It's a role that I really tie to Ferrell, I can't see anyone else playing the role. Also this is the first role that comes to my mind when someone says Will Ferrell. This movie helps bring a more well defined definition of Christmas spirit. It's about being together and believing it. Seeing something may not be the same as believing something. You could take the quote from the Santa Clause and apply it here. ""Seeing isn't believing, believing is seeing!"" I feel like this is full of Christmas spirit and a must watch during the Christmas season.",2023-12-17,"Dec 17, 2023",7.0,8,2,6,auskooper,False,True,159,https://www.imdb.com/title/tt0319343/review/rw9500358/?ref_=tturv_perm_7
8,rw3391135,Unexpected out of nowhere against all odds classic,"This was my 4th viewing and now ready to review. The story is insane. This film should not have worked. But almost as a tribute to the X-Mas miracles it tries to riff off, it is an astonishingly entertaining film. Behind the camera Favreau, Mr Money Shot, who has quietly without fanfare turned into one of the hottest directors in Hollywood history. In front of the camera Farell who I usually don't care for but may just give the performance of his career here. A script to die for. Probably the best use of Zoey D's looks in her career to date. Way under rated and unappreciated. As in my other reviews, most ""recent"" X-Mas films (since about 2000) are Canadian B-movies shot on a budget which would barely cover a reno on THIS OLD HOUSE What an unexpected treat See it",2016-01-08,"Jan 8, 2016",9.0,115,28,87,A_Different_Drummer,False,True,145,https://www.imdb.com/title/tt0319343/review/rw3391135/?ref_=tturv_perm_8
9,rw4508804,"After so many years, I finally got to watch Elf and consider it quite a funny and partly touching movie","Confession time: Until just a couple of hours ago, I had never seen this now-classic Christmas comedy starring Will Ferrell in the title role. He's an actual human who as a baby was taken to the North Pole accidentally and was raised by elder elf Bob Newhart. After becoming the least prolific of workers at Santa's Workshop, he decides to go to New York to find his biological father who's played by James Caan. I'll stop there and just say this was quite funny and had also some touching scenes. Because this was a family film, there's no dirty language nor any adult situations. In summary, Elf is a wonderful comedy suitable for kids ""from 1 to 92""!",2018-12-13,"Dec 13, 2018",7.0,15,7,8,tavm,False,True,119,https://www.imdb.com/title/tt0319343/review/rw4508804/?ref_=tturv_perm_9
10,rw0875697,"This is a wonderful, original and perfectly portrayed film.","This was one of my favorite movies in 2003. Will Ferrell is brilliant as the Elf. The supporting cast is great too, especially Bob Newhart as his elf ""dad"". The characters are well written and it is a refreshing film to get lost in. Will Ferrell plays the elf with such innocence, he is so funny! This is not just a Christmas film but when the DVD comes out I will be watching ""Elf"" in July. The story progresses nicely, there are many lessons to be learned as you watch this movie. It touched my heart in many ways. I highly recommend this movie for kids AND adults, you won't regret it. Treat yourself and watch this ""original"" movie. Hollywood needs to make more like this.",2004-06-24,"Jun 24, 2004",10.0,153,49,104,della-10,False,True,126,https://www.imdb.com/title/tt0319343/review/rw0875697/?ref_=tturv_perm_10
